label,value,cnt
Model,HP Smart Tank 720,1
Volume,0.0010 m³,4
Part number,TS-364-8 q,1
Model,HP Smart Tank 520,1
Part number,4X31S04838,1
Simsiz şarj,Bəli,6
Seriya,Kingston DataTraveler Exodia S,4
Görüntü imkanı,1920 × 1080 @ 320 Hz,1
Oxuma / yazma,1000 / 1000 MB/s,3
EAN,0196188567319,1
Portlar,8 × RJ-45 10/100/1000 Class 4 PoE,2
Part number,2E-CONTROL-3XL-BK-PRO,1
İdarəetmə,"Yoxdur (plug-and-play, Instant On cloud yoxdur)",5
Çəki,0.8 kq,1
2.4 GHz,Xeyr,1
Çəki,2.4 q,1
Uyğunluq,"PC, Mac, PS5, mobil, Switch; NGENUITY",2
View,Computer and household UPS,5
Ötürmə,238 Mpps,1
İşıq,ağ LED,1
Platforma RAM,"4 × DDR4 UDIMM ECC, maks. 128 GB, 3200 MT/s",3
Dinamik,40 mm,2
Wide Compatibility,"Our charging station is compatible with various devices, including iPhone 15/15 Pro/15 Pro Max/14/13/12 series, AirPods Pro 2/1, AirPods3/2, Galaxy Buds, iWatch Ultra/8/7/SE/6/5/4/3/2, and most Qi-supporting devices. For optimal charging, we recommend using a MagSafe phone case or a bare phone",1
Notebook compartment (ShhVhT),42.8x33x6.9 cm,1
Form faktor,"Tower, 180.2 × 199.3 × 279.6 mm",1
Tezlik,1600 MHz (PC3-12800R),1
SED / FIPS,FIPS-140 SED,1
Model,Dell Pro 27 Plus P2725DE,1
Parlaqlıq,450 cd/m² tipik / 600 cd/m² HDR pik,1
Duplex çap,Manual (avtomatik deyil),1
Kabel,1.3 m,10
Part number,6B8Y2AA,1
Çap texnologiyası,Lazer,36
Model,GWN7625,1
Part number,P40430-B21,1
Prosessor,Intel Core 5U-125U,1
Qidalanma,"USB Type-C, USB PD 3.0, 20 V / 3,25 A",4
Model,Lenovo ThinkVision T27UD-40,1
Fan,1 × PWM,1
Part number,Core65,1
Rəng,Qara / firuzəyi,7
Part number,BBU201B109035,1
Protokollar,SCCP (Skinny Client Control Protocol) və SIP (Cisco CUCM / CME),1
Tip,yığcam oyun noutbuk çantası,2
Kabel,1 m,1
Part number,MR.GTN42U61.01_PRF63,1
Model,Dell Pro 24 All-in-One QC24251,1
Format,"Kompakt TKL (Tenkeyless 85% format - 87 düymə, rəqəm bloku olmadan masada geniş siçan hərəkəti sahəsi yaradır)",1
Port,1× 10/100 m Ethernet (RJ45) portu,1
Terminallar,T2 (Faston),1
EAN,4549821354238,1
Model,HP OmniBook 5,5
IPS,2.5 Gbps,2
Yaddaş,1TB PCIe Gen4 Performance SSD,1
IP,IP55 (toz və su sıçraması),2
Əlavə xüsusiyyətlər,Harman audio; SSD Opal şifrələmə,2
Seriya,Razer Goliathus Mobile,2
Part Number,6N0A8AA,1
Keş,512 MiB,2
EAN,0197192333983,1
Radio,Tri-band 2×2:2,1
Prosessor,"Intel Core 7 240H | 10C(6P+4E)/16T, 24MB cache",1
Part number,P14608-B21,1
Reaction time,5 ms,5
Düymə sayı,109 pcs,1
İnterfeys,USB 3.2 Gen2 (10 Gbps); USB4/3.1/3.0/2.0 geriyə uyğun,3
Yuvalar,"4 × 3.5""/2.5"" SATA (diskless, hot-swap, key lock)",1
Model,YNDX-00026VIO,1
Graphics card Power Connector,no,2
Əlavə xüsusiyyətlər,Barmaq izi oxuyucu; İşıqlı klaviatura; FHD + IR kamera; SSD Opal şifrələmə,1
Random IOPS,250K oxuma / 350K yazma (512 GB),1
Portlar,"1x USB-A (USB 5Gbps / USB 3.2 Gen 1); 1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On; 1x USB-C (USB 10Gbps / USB 3.2 Gen 2), with USB PD 3.0 and DisplayPort 1.4; 1x USB-C (Thunderbolt 4 / USB4 40Gbps), with USB PD 3.0 and DisplayPort 2.1; 1x HDMI 2.1, up to 4K/60 Hz; 1x Headphone / microphone combo jack (3.5 mm); 1x Ethernet (RJ-45); 1x SD card reader; Touch style fingerprint reader integrated in power button, match-on-chip; No fingerprint reader",2
Sürücü,Razer TriForce Titanium 40 mm,1
Çəki / ölçülər,10.0 kq (22.0 lbs) | 714.2x234.9x599.5 mm,1
Model,CD294,2
Statik kontrast,1000:1 (Dinamik 5 m:1),1
EAN,888793367490,1
İş prinsipi,DTSB5312L-CD20 (TX1550/RX1310) modulu ilə cüt şəkildə işləyir.,1
Batareya tutumu,20000 mAh,2
Part number,JL684B,1
İş temperaturu,0–70 °C,15
Volume,0.0025 m³,1
Seriya,Razer Iskur V2 X,2
Audio,HD,15
Model,Dell Pro E2725HM,1
Part nömrəsi,GS2220-10-EU0101F,1
Qidalanma,"USB Type-C, 5 V / 1,5 A",5
Conductor type,Stranded,1
Model,GS1008HP,1
Konnektor,"USB Type-A, 10 000 plug/unplug testi",2
Divar montajı,Arxa paneldə 4 anker nöqtəsi,2
Çəki,2.49 kq,1
Ethernet,Var,6
Korpus,"Metal, örgülü",1
Model,Lenovo ThinkBook 14 G8,2
SKU,460-11753,1
Part number,2E-GC-BUS-BK,1
Tip,Wireless stereo headset,2
Model,Lenovo ThinkPad X12 Detachable Case,1
Part number,8Y2K9AA,1
Prosessor,Intel Core i3-14100T,1
Giriş tezliyi,40–70 Hz,1
Yaddaş sürəti,2933 MT/s,1
Barkod,4897098687031,1
Stabilizasiya,"360° Horizon Steady, View Lock Steady; 6 oxlu giroskop; SuperSmooth (tətbiqdə)",1
Part number,LI32121CT00,1
Model,Dell PowerEdge R650xs,1
Sensor,optik,3
RAM,"16 GB ECC DDR4 (4 slot, maks. 128 GB)",1
Part Number,RMKIT18-32,1
Ölçü,141 × 88 × 18.4 mm,1
EAN,0199251514623,1
Model,YNDX-00054BLK,1
Model,S5130S-52TP-EI,1
Uzunluq,10 m,2
Part number,S0G20A,1
Çəki / ölçülər,Starting at 1.4 kq (3.08 lbs) | 339.55x228.5x12.9 mm,2
Model,2775-109,1
Model,Alienware AW3225QF,1
TV Type,DLED TV,1
Sürət,1.25 Gbps,1
Tip,"Indoor Wi-Fi 5 (802.11ac Wave 2) 4×4 access point, Instant On AP15",1
Mikrofon,"4 ədəd, tanınma məsafəsi 7 m-ə qədər",3
Ekran,"24"" Full HD (1920×1080) IPS/UWVA, anti-glare",6
Resurs,15 000 saat,5
Bağlantı,USB-A / BT / WL,2
DWPD,0.8,3
Təyinat,"Cisco router, switch, firewall və digər şəbəkə avadanlıqlarının COM port vasitəsilə CLI konfiqurasiyası və idarə edilməsi.",1
VESA,100×100,1
Part number,006R04388,1
Konnektor 2 tipi,Male,26
Portlar,"1 × HDMI 1.4, 1 × DisplayPort 1.2, 1 × VGA (D-Sub)",1
Model,GWN7700P,1
Part number,D06L9EA,1
Ölçü,132.4 × 82 × 16.1 mm,2
Əlavə xüsusiyyətlər,Lenovo 13-14-inch Laptop Essential Slim Topload,1
Davamlı ötürmə,"250 MB/s / 229 MiB/s (davamlı, OD)",1
Düymə mexanizmi,"Noutbuk tipli qayçı (Scissor-switch) mexanizmi – son dərəcə yumşaq, dəqiq və səssiz yazma təcrübəsi",1
Dispersion angle,45°,1
Qidalanma,CR2450 batareya,1
Ölçü (H×W×L),38.5 × 216 × 160 mm,3
PoE dəstəyi,IEEE 802.3af PoE və Cisco Inline Power,2
Çəki,47 q without battery,1
Uzaqdan firmware yeniləmə,Bəli,1
Ekran,"14"" 2.8K OLED/IPS (2880×1800) OLED, sensorlu 400 nit 120 Hz",4
Part number,OneScreen-i5-L7,1
Çəki,58 q (batareyasız),1
Çəki,"0,75 kq (1.65 lb)",1
Ölçü / çəki,"441 × 270 × 44 mm, 3.8 kq",2
Model,CD170,1
Part number,SDCG4/1TB,1
Portlar,"2× DP 1.4, HDMI 2.1, USB hub",1
USB,UPS firmware yeniləmə / opsional aksesuarlar üçün,1
Məsafə,50 m (açıq mühit),1
Model,16GB 2Rx4 PC3L-12800R-11-13-E2 (HMT42GR7BFR4A-PB),1
Model,YNDX-00021-BLUE,1
Rəng,Ağ (White),7
Batareya / adapter,60 Wh,4
En,127 mm,1
Volume,0.0173 m³,2
Model,Lenovo ThinkPad USB4 Smart Dock 5500,1
Uyğunluq,Intel və AMD DDR4 masaüstü platformaları,2
Data sürəti,18 Gbit/s,3
Görüntü imkanı,3840 × 2160 @ 240 Hz,1
Rəng,blue / with pattern,3
PoE / qidalanma,IEEE 802.3at PoE+; max 19.5 W,3
Xətlər / SIP,2 lines · 4 SIP accounts,3
Ölçülər,69.8 × 69.8 × 24.5 mm,1
Yaddaş,256 GB M.2 SATA SSD,2
Part number,RZ04-03240900-R3M1,1
Part number,2EW-2684,1
Maximum peak voltage,250 V,2
Tip,"AC power cord, Europe (PC-AC-EC)",1
Əlavə xüsusiyyətlər,"5MP kamera; Privacy shutter; SSD Opal şifrələmə; Korpus: PC + 20% CF (top), PC + 20% CF (bottom)",2
Uyğunluq,"GXP16xx, GRP2612, GRP2612 W, GRP2613",1
Part number,P28948-B21,1
Seriya,Kingston Canvas Select Plus,5
Tezlik,13–27 000 Hz,3
Ölçülər,381 × 357 × 216 mm,2
Yaddaş,1TB PCIe-4x4 2280 NVME SED OPAL2 TLC SSD,1
Power consumption,36 W,1
Part number,345-BBDF,1
Model,HP OmniBook 5 Flip x 360,1
Port sayı,5 × 2.5GbE RJ45 (2.5 q/1 q/100 m auto-negotiation),1
Part number,21Y6003SFW,1
Veb-kamera,5 MP + IR veb-kamera,10
Wi-Fi,"Wi-Fi 6 (802.11ax), dual-band + ayrıca scanning radio və BLE 5.0",1
Kabel,1.55 metr davamlı USB 2.0 kabeli,1
Part number,2E-PAD-L-CAPY-BLUE,1
İş yükü,550 TB/il; 64 HD kamera + 32 AI axını; 16+ yuvalı NVR,1
Konnektor 1,USB A,2
Rəng,Business black (qara),1
Batareya / adapter,88 Wh,1
Sensor,PixArt 3212 yüksək dəqiqlikli optik sensor,1
Giriş PF,"> 0,99 · iTHD: < 3%",2
Sertifikat,UC / softphone uyğunluğu (variant asılı),1
Portlar,48 × 10/100/1000,1
Part number,6B8Y1AA,1
Part number,5HH66A,1
Model,CM506,1
Part number,QSW-M1204-4C,1
Maks. güc cərəyanı (Imp),"6,1 A",1
Height adjustment range,46.5 - 136.5 mm,1
İnterfeys,"PCIe Gen5 x4, NVMe 2.0 (Gen4/Gen3 geriyə uyğun)",2
Part number,4X90X21427,1
Bağlantı,USB-C → RJ45,1
Model,GRP2614,1
Ötürmə sürəti,1.25 Gbps (Gigabit Ethernet / 1 q Fibre Channel),1
Ölçü (E×D×H),124 × 190 × 52.5 mm,2
Kağız çəkisi,60 - 256 q/m²,1
Uyğunluq,HPE ProLiant DL360 / DL365 Gen10 Plus,1
Qidalanma,"24 V / 0,9 A adapter (100–240 V giriş)",1
Random yazma (4KB),31000 IOPS,1
Model,Lenovo GaN Nano 65 W Adapter,1
Uyğunluq,"PowerEdge C6520, PowerEdge C6525, PowerEdge C6620, PowerEdge R450, PowerEdge R550, PowerEdge R650, PowerEdge R650XS, PowerEdge R6525, PowerEdge R660, PowerEdge R6615, PowerEdge R6625, PowerEdge R750, PowerEdge R750XA, PowerEdge R750XS, PowerEdge R7525, PowerEd",1
Tip,simsiz esports siçan,5
Kağız,250 + 100 MPT (standart 350); opsional 550; maks. 900; çıxış 150,1
Tip,USB kondensator mikrofon (SoloCast 2),1
VESA Wall Mount,200x150,1
Part number,21UY005NFW,1
Barkod,681920370604,1
"Çap sürəti (qara, draft)",39 səh/dəq,1
Kabel tipi,Round cable,3
Tip,FortiVoice 100E — legacy IP PBX appliance (hardware),1
Batareya,VRLA · 3 × 12 V × 9 Ah · hot-swappable,1
Növ,Maximum Performance fan dəsti,1
Maks. ekran,"16.5 cm (6.5"")",2
USB,"3 × USB 3.2 Gen 1, USB Copy",1
Kommutasiya tutumu,1 Gbps,1
Batareya gərginliyi,144 Vdc sinif (xarici EBC),1
Uyğunluq,Windows / macOS / Linux / Windows® 7,2
Konfiqurasiya,"DN — duplex + Gigabit Ethernet (Wi-Fi bu SKU-da standart deyil, opsional kit)",1
On-Die ECC,Bəli,16
Part number,P28610-B21,1
En,105.5 mm,1
Rəng,99.3% DCI-P3,1
Volume,0.0221 m³,1
Dimensions in mm (HxWxD),355x170x275 mm,2
Power Lifting Mode,3.600 W,1
Sensor və Optika,"Sony IMX415 sensoru, 7 qat şüşə linza, F1.8 böyük diafraqma, 140° geniş baxış bucağı",1
Klaviatura xüsusiyyətləri,"113 düymə (əlavə 9 ədəd multimedia idarəetmə düyməsi), nəmə və təsadüfi maye dağılmasına qarşı qoruma, erqonomik korpus",1
Video,HDMI/DP 4K@60 Hz; USB-C video 4K@30 Hz HDR,1
Mikrofon,Noise Cancelling (NC),3
Region SKU,WW00 · Power adapter daxil deyil,1
Çəki,76 q,3
Növ,25GbE optik transceiver,1
Kartric,"HP 216A Black LaserJet Toner Cartridge (1,050 page yield) W2410A; HP 216A Cyan LaserJet Toner Cartridge (1,050 page yield) W2411A; HP 216A Yellow LaserJet Toner Cartridge (850 page yield) W2412A; HP 216A Magenta LaserJet Toner Cartridge (850 page yield) W2413A",2
Ekran ölçüsü,"24.0""",1
Part number,6N4C4AA,1
Cihaz tipi,Telephone,1
Kabel,"2 m, 3×4 mm² H05VV-F",2
Clients / SSID,up to 1024 clients · up to 36 SSID,1
Foto,20MP / 16MP / 13MP / 8MP (standart: 20MP). Burst və timer. Format: JPG,1
EAN,0196786890161,1
Zəmanət,5 il və ya TBW (hansı əvvəl dolarsa),4
Paneli,IPS,2
LAN/WAN,4 × GE,1
Equipment,USB-receiver / keyboard / 1 AAA battery,1
Ölçü (H×W×L),42 × 216 × 178 mm,3
Seriya,MR.PRZ Basic PDU,8
Tip,Fortinet 1GE SFP LX transceiver,1
PPI,108.97,1
Diameter,150 mm,2
Wi-Fi,"IEEE 802.11 b/g/n/ac/ax (Wi-Fi 6, 2,4 Və 5 GHz)",4
Panel,Fast IPS,3
Əlavə xüsusiyyətlər,"5x rəqəmsal zoom; time-lapse video; motion detection; 170° FOV. Dəstdə su keçirməz korpus, pult və montajlar",1
Format,"LTO-9 Ultrium WORM (Write Once, Read Many)",1
Part number,FS-108F-POE,1
Çıxış,220/230/240 VAC ±1% (factory default 230 V),1
Çipset,Broadcom 5720,1
Ekran,"23.8"" 4K UHD (3840×2160) IPS/UWVA",1
Forma,sağ əl ergonomik,2
Anten,"4 × xarici omni, SMA, 5 dBi",1
Switch,Membran,1
Model,HP Color Laser 150a,1
Part number,63DFKAR4EU,1
Ölçü,59 × 18.4 × 9.1 mm,2
Ötürmə,172 Mpps,1
Forma,simmetrik,3
İdarəetmə,"Ruijie Cloud App, Web brauzer, Real-time monitorinq, PoE Reboot",1
Part number,OS-T7-75,1
Part number,4X21L54610,1
Çəki,692 q,1
Volume,0.0034 m³,2
Qidalanma,USB bus,13
Prosessor,1 GHz Dual Core; 512 MB RAM,4
EAN,0197029365989,1
Part number,2Z628A,1
Rank,1Rx16,2
Uyğunluq,Windows / macOS 10/7 and above / Linux,4
İnterfeys,USB Type-A: USB 3.2 Gen 1 (5 Gbps); Micro USB: USB 2.0 (OTG). Eyni anda bir konnektor.,1
Bağlantı,Barrel 7.4 mm,1
Part number,AP64GAH353C-1,1
Skaner,Flatbed & ADF scanner,3
Notebook compartment (ShhVhT),38 x 28.5 x 5.2,1
Part number,2E-KG350UBK,1
Görüntü imkanı,3840 × 2160 @ 120 Hz,7
Part number,2E-CBN315DO,1
Handles for carrying,✔️ sheathed with softening pads,1
Foto,20MP / 16MP / 12MP / 10MP / 8MP / 5MP (standart: 20MP). Format: JPG,1
Çəki,"131,4 kq",1
Part number,2E-CBN9265BK,1
RGB,Razer Chroma,46
Çip,Daxili FTDI FT232R / RS232 səviyyə çevirici,1
Model,AC2P,1
LAN,1 × RJ-45 10/100/1000 (hava keçirməz gland),1
EAN,4549821299935,1
Model,WP816,1
Lent,"Barium Ferrite, 1035 m, 8960 track",1
Additional,Possibility of stacking satellites in mini-soundbar,1
Part number,4CE97AA,1
Uyğunluq,HPE ProLiant DL360 Gen10 HPE ProLiant DL380 Gen10 HPE ProLiant DL560 Gen10 HPE Apollo 6000 XL230k,1
Part number,400-BLBZ,1
Qoruma,"Over current, Over voltage, Short circuit",1
Part nömrəsi,GS1100-16-EU0103F,1
Additionally,TWS function support / PowerBank function / Hands-Free function / Beat-Driven Backlight,2
İnterfeys,SATA III 6 Gb/s (SATA I/II ilə uyğun),3
Qrafika,NVIDIA RTX A2000 12 GB GDDR6 4mDP GFX,2
Rəng,Gold Gray / Storm Grey,1
Giriş,AC,3
Ekran,"27"", FHD 1920x1080, 300 nits, Non-Touch, Anti-glare, 99% sRGB",1
Korpus,"13"" 1U rackmount, daxili PSU",1
RAM,16 GB DDR5-5200,2
Günəş paneli girişi,"200 W Max., 12–28 VDC, 8,2 A",1
Uyğunluq,"PC, PS5, PS4, Xbox Series X|S, Xbox One",4
Ekran,"23.8"", FHD 1920x1080, IPS, 250 nits, 120 Hz, Anti-glare",1
Part number,RZ01-05120200-R3G1,1
Model,Dell USB 3.0 to Ethernet (PXE),1
Uyğunluq,HPE ProLiant DL360 Gen10 & Gen9 HPE ProLiant DL380 Gen10 & Gen9 H PE ProLiant DL385 Gen10 HPE ProLiant DL560 Gen10 & Gen9 HPE ProLiant DL 580 Gen10 HPE ProLiant ML30 Gen9 HPE ProLiant ML110 Gen9 HPE ProLiant ML150 Gen9 HPE ProLiant ML350 Gen9 HPE ProLiant XL170r Gen10 HPE ProLiant XL190r Gen10 HPE ProLiant XL450 Gen10,1
Cavab müddəti,5 ms (Fast),1
DPI,1000 dpi / 1200 dpi / 800 dpi,1
Şəbəkə,2 × 2.5GbE; 10/25GbE PCIe ilə opsional,1
Həcm,22.6 l,1
Tutum,"50 endpoint, 8 VoIP trunk",1
Tip,Enterprise Gigabit Ethernet + 4 q LTE router,1
Part number,AP5TBAC237B-1,1
Part number,KF588CU42RS-24,1
Model,X553,1
Tip,"25 q SFP28 optik transceiver, HPE Aruba Networking",1
Xətt sayı,"2 xətt / zəng düyməsi (LED göstəricili), 4 soft-key, naviqasiya düymələri",1
Prosessor,400 MHz,2
Təyinat,Calls/Music,1
Məsafə,100 m (multi-mode),1
Uyğunluq,"PC, PS5, PS4, Nintendo Switch",2
Uyğunluq,AP22 (R4W02A) tavanə oturtmaq üçün,1
Rank,1Rx8,17
Qidalanma,12 V/1A xarici adapter; max ~6.8 W,1
Basket capacity,12.5 l,1
Dual display,HDMI + VGA eyni anda (mirror / extend),1
EAN,0196188747735,1
Tip,Cloud idarə olunan Layer 2+ Multi-Gigabit PoE+ kommutator (EnGenius Cloud),1
Uyğunluq,PlayStation,1
Model,20797-999-889,1
Tutum,8 GB,7
Çəki,"23,2 kq",1
Operativ yaddaş,8GB DDR4,4
Ekran,5 düym (320 × 240 piksel) 16-bit rəngli arxadan işıqlandırılan TFT LCD,1
Yaddaş,8 GB,2
Ethernet,10/100/1000 Mbps,3
Qrafika,Intel Arc 140T,1
Həssaslıq,800 / 1200 / 1600 DPI dəyişdirilə bilən sensor,1
Part number,7KW54A,1
Paket,Retail box,1
HDCP,1.4 Və 2.3,1
Texnologiya,"hermetik, texniki xidmət tələb etmir",4
Ön quraşdırılmış,Network Management Card,1
Cavab müddəti,4 ms (GtG) / 8 ms (GtG),1
Part number,AG16GB32C22N4S,1
VGA çıxış,1,1
Uyğunluq,PC,4
Part number,A16KSEA,1
Paket tərkibi,Yüksək məhsuldarlıqlı redundant hot-plug fanlar (2U),1
Part number,2E-PAD-S-CAPY-BLUE,1
ANC,Hybrid aktiv səs-küy azaltma,2
Ölçülər,50 × 50 × 85 mm,2
Tip,AC enerji təchizatı modulu,2
Quraşdırma,üfüqi / şaquli,2
Tip,simsiz ergonomik oyun siçanı,2
Batareyalar,20 × 9 Ah (VRLA),1
Qida,1 × AAA,1
Tip,L3 Ethernet Switch (Data Center / High-performance),1
PoE,4 port,2
Mobil çap,"HP app, AirPrint, Mopria, Wi-Fi Direct, Chrome OS",1
Video rejim,1080p,3
Part number,2E-MF130UB,1
Tezlik,2133 MHz (PC4-2133P / PC4-17000),2
Wi-Fi,"IEEE 802.11ax (Wi-Fi 6), tri-radio: 2.4 GHz + 5 GHz + scanning",1
Part number,2E-SPEED-XL-PK-PRO,1
Təşkil,1 × 16 GB (Icecat-dakı 2×8 GB qeydi səhvdir; 2Rx8 = dual-rank çip təşkili),1
Windows,Bəli,6
Video,1 × HDMI 1.4b çıxış,1
Model,KT100 Scissor with Touchpad (2E-KT100WB_UA),1
Rəng,Paslanmayan polad / bənövşəyi,2
Seriya,Razer Barracuda X (2022),1
Uyğunluq,"HPE MSA Platforms, see QuickSpecs for more information",2
Operativ yaddaş,128GB (4x32GB) DDR5 4800,2
Qrafika,Intel UHD Graphics,5
Part number,FS-424E,1
Part number,P40501-B21,1
EPO,Bəli,2
Uyğunluq,HPE ProLiant DL360 Gen10 HPE ProLiant DL380 Gen10 HPE ProLiant DL560 Gen10 HPE ProLiant DL580 Gen10 HPE ProLiant ML110 Gen10 HPE ProLiant ML350 Gen10 HPE ProLiant XL170r Gen10 HPE ProLiant XL190r Gen10 HPE ProLiant XL230K Gen10 ; HPE D3610 Disk Enclosure HPE D3710 Disk Enclosure HPE D6020 Disk Enclosure HPE MSA 1040 SAN Storage HPE MSA 1050 SAN Storage HPE MSA 2040 SAN Storage HPE MSA 2050 SAN Storage,1
Təhlükəsizlik,aparat səviyyəli 256-bit AES şifrələmə; disk kilidi; OTP,1
Yaddaş,1TB PCIe Gen4 SSD,4
Format,"A4 (A5, A6, B5, legal, zərf)",1
Sinxron,"NVIDIA G-SYNC Compatible, AMD FreeSync",1
Audio,24-bit / 48 kHz-ə qədər,1
Daxili portlar,2x8 host / x16 internal tri-mode,1
Qoruma,32 A miniatür avtomat (MCB),3
Disk yuvası,"8 × SFF 2.5"" hot-plug (disk daxil deyil)",2
Part number,63D4GAT1EU,1
Part number,6B8U5AA,1
Part nömrəsi,GS192024HPV2-EU0101F,1
Model,Alienware AW920K Tri-Mode,1
Şəbəkə tipi,10 Gigabit Ethernet,3
Xüsusiyyətlər,"TP-Link Mesh texnologiyası, Seamless Roaming (tək SSID ilə kəsintisiz keçid), 100-ə qədər qoşulan cihaz tutumu, Router və Giriş nöqtəsi (AP) rejimləri, Valideyn nəzarəti, Deco mobil tətbiqi ilə idarəetmə",1
PoE / qidalanma,IEEE 802.3af PoE və ya DC 12 V,2
Part Number,7G7A4AA,1
Yaddaş tezliyi,2800 MHz,1
Bağlantı tipi,wired,7
Çəki,63 q,2
Daxil edilən,Rackmount kit + Tower stand + RDU101 network card,1
Inputs,USB-C / AUX,1
Ölçü,"195,6 × 117,9 × 6,9 sm",3
Model,38599-999-889,1
Model,WS201,1
İnterfeys,USB Type-A 2.0,1
Portlar,1x USB-C 3.2 Gen 1; 4x USB 3.2 Gen 1; 1x HDMI; 1x DP; RJ45,2
Model,GWN7802P-PRO,1
Portlar,8 × GE RJ45 (6× LAN + 2× FortiLink A/B) + 2 × RJ45/SFP shared WAN + USB + konsol,1
Region SKU,WW02 · Power adapter daxil deyil,1
Duty cycle,80 000 səh/ay; tövsiyə: 6 000,3
Tip,Naqilli oyun qulaqlığı,16
Korpus,"SFF (Small Form Factor), qara",1
Ölçü,360 × 278 × 4.6 mm (M),3
Model,HP Z8 Fury G5,1
Bağlantı,"Wireless, RF Wireless",1
Part number,R9D17A,1
Form faktor,"19"" 1U rackmount",3
Rəng / korpus,"Military green, zərbəyə davamlı silikon rezin",3
Əlavə xüsusiyyətlər,"Barmaq izi oxuyucu; İşıqlı klaviatura; FHD + IR kamera; Korpus: Aluminium (top), PC-ABS (bottom)",5
Tələb olunan hub,Yandex Stansiya və ya Hub,9
Konsol,RJ45,3
Directivity,cardioid,2
Uyğunluq,Instant On AP11/12/15/17/22 Və 802.3af cihazlar,1
Sensor,Focus Pro 35K Optical,8
Part Number,4Z7X3AA,1
Cold start,✔️,4
Tip,İclas və konfrans zalları üçün peşəkar IP konfrans telefonu,1
RAM (bu konfiq),32 GB (2 × 16 GB) DDR4 RDIMM,2
Tip,Enterprise Layer 2+ Managed Switch,2
Wi-Fi diapazon,Dual-band (2.4 GHz / 5 GHz),1
Çəki,0.45 kq,1
Tip,Bütün ev üçün AC1200 Mesh Wi-Fi sistemi (2 modul),1
OS,Windows / macOS / Linux / Android 4.1+ (OTG),1
Cutting Type,cross,2
Ekran,"39.7"", WUHD 5120x2160, IPS, 120 Hz, 99% sRGB",1
Portlar,8 × GE RJ45 PoE+ + 2 × GE SFP + RJ45 konsol,2
Part number,OneScreenWebCam,1
Part number,2E-CBN5214BK,1
Form faktor,262-pin SO-DIMM,2
Part number,2E-SK3IN1,1
Forwarding,95.2 Mpps,1
Wi-Fi 7,MLO · Preamble Puncturing · 4K QAM · 320 MHz channels,1
Səmərəlilik,"93,5%",1
Qeyd,InsightPower G3 / Mini SNMP IPv6 (NEW),1
Audio kodekləri,"Genişzolaqlı HD Audio (G.722, iLBC), G.711a/u, G.729a/b",1
Part Number,64V61AA,1
Acoustic Formula,2.0,5
Sürətli şarj texnologiyası,"Quick Charge 2.0, Quick Charge 3+, Quick Charge 3.0, Quick Charge 4, Quick Charge 4+",1
Type of light source,LED,2
RAM,"8 GB DDR4 SODIMM (2 slot, maks. 16 GB)",4
Tip,"Enterprise Layer 2 access kommutator, AOS-CX (HPE Aruba CX 6000)",6
Model,Lenovo HDMI to HDMI cable,1
Pattern,Uni (cardioid),2
macOS,Bəli,6
Part number,8T0U4EA,1
Part number,RZ04-03241300-R3G1,1
Brauzer,Bəli,4
Çəki,513 q,1
Çəki,943 q,1
Qısaqapanma cərəyanı (Isc),"11,0 A",1
The number of light sources,36 ədəd yüksək fotosintetik effektivliyə malik yarımkeçirici işıqdiodu,1
Bright,250 cd / m2,6
Seriya,Razer Kraken Kitty V2,1
Qrafika,Intel Arc / Intel Graphics (inteqrə),2
Çəki,"17,1 kq",3
Oxuma / yazma,14200 / 11000 MB/s,1
Operativ yaddaş,32GB (2x16GB) DDR4 3200,1
Tip,LED lent uzadıcısı,1
Model,4GB 2Rx8 PC3-10600U-999,1
Part number,2E-MF300WCAPIBARAYW,1
Ölçü / çəki,"77 × 55.7 × 9.6 mm, 35 q",2
Brend,AOC,1
Model,HP ProBook 460 G11,2
Model,HP EliteBook 8 G1i 16,2
Vəziyyəti,Yeni (İstifadə olunmamış / Brand New),3
Model,MU008,1
Part number,0231A4B0,1
Rəng,Qızılı,1
Çəki,~55 q,1
Model,CD296,1
Socket,USB Plug&Play Windows və Mac üçün,1
Volume,0.0575 m³,1
LAN,1 × GE RJ45,1
Prosessor,Intel Core Ultra 5 228 V | 8MB cache,3
Model,US184,1
Tip,Gaming monitor,1
Part number,5E8R2EA,1
Təyinat,Universal,1
Hündürlük,241.3 mm,1
Dinamik,1.36 cm,1
Korpus materialı,metal,1
Polling,1000 Hz,22
Batareya tutumu,3600 mAh,1
AWG,30,4
Seriya,Liebert GXT5,1
Model,Lenovo ThinkVision S24i-30,1
Uyğunluq,"14""–16""",2
Ölçülər,545 × 599 × 338 mm,1
Xətt / SIP hesabı,"5 proqramlaşdırılan xətt / SIP hesabı düyməsi, 4 kontekstual soft-key",1
Güc,2.200 VA / 1.200 W,1
Tip,RGB desk-mat,1
Məlumat ötürmə,25 Gbit/s,1
Çəki,"13,9 kq",1
Hündürlük,9U (daxili 375 mm),1
Çəki,776 q,1
Model,LINK 230,1
App,BLUETTI App (Bluetooth),2
Mikrofon,"2 ədəd, aktiv səs-küy azaltma",11
Kağız çəkisi,60 - 200 q/m²,9
Tutum,5 Ah,1
Rəng,yellow,7
RAM,"4 GB DDR4 UDIMM (1 slot, maks. 16 GB)",3
Rəng,Qırmızı,8
